epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	9.404418	0.840639	0.291741	0.878500	0.833054	0.172532	0.133825
1	9.405507	0.900730	0.284718	0.882000	0.823128	0.164711	0.143326
2	9.398509	1.278402	0.280458	0.891000	0.836774	0.162130	0.204809
3	9.406594	1.046670	0.275406	0.873000	0.824266	0.162514	0.168453
4	9.396580	1.102912	0.275086	0.886500	0.838532	0.167655	0.180104
5	9.386720	0.929095	0.275453	0.883500	0.829584	0.175514	0.151079
6	9.385082	0.839042	0.270175	0.882000	0.826306	0.152745	0.138614
7	9.381456	1.038700	0.270739	0.885000	0.836689	0.155969	0.164865
8	9.384536	0.825737	0.268780	0.889500	0.830855	0.152453	0.131599
9	9.384905	0.772054	0.267750	0.888500	0.834121	0.154521	0.124285
