epoch	position	reward
0	0	0.229618
0	1	0.188335
0	2	0.136203
0	3	0.125749
0	4	0.140965
0	5	0.124322
0	6	0.120333
0	7	0.133468
0	8	0.121549
0	9	0.130914
0	10	0.117608
0	11	0.128251
0	12	0.114318
0	13	0.116410
0	14	0.116802
0	15	0.122600
0	16	0.122787
0	17	0.128269
0	18	0.127265
0	19	0.130738
1	0	0.219550
1	1	0.148749
1	2	0.144502
1	3	0.145477
1	4	0.147809
1	5	0.150333
1	6	0.142390
1	7	0.143229
1	8	0.139264
1	9	0.134700
1	10	0.132996
1	11	0.139803
1	12	0.138635
1	13	0.136461
1	14	0.139406
1	15	0.134146
1	16	0.137042
1	17	0.133723
1	18	0.130285
1	19	0.128014
2	0	0.280711
2	1	0.206226
2	2	0.185362
2	3	0.188449
2	4	0.187579
2	5	0.198164
2	6	0.197910
2	7	0.201368
2	8	0.199230
2	9	0.195816
2	10	0.196021
2	11	0.200954
2	12	0.206556
2	13	0.204179
2	14	0.209241
2	15	0.210045
2	16	0.211202
2	17	0.205993
2	18	0.208945
2	19	0.202228
3	0	0.292184
3	1	0.196623
3	2	0.176927
3	3	0.158015
3	4	0.152879
3	5	0.158032
3	6	0.154212
3	7	0.155909
3	8	0.159997
3	9	0.158302
3	10	0.154277
3	11	0.157934
3	12	0.153300
3	13	0.160020
3	14	0.160368
3	15	0.159832
3	16	0.165011
3	17	0.166121
3	18	0.164435
3	19	0.164683
4	0	0.278179
4	1	0.181971
4	2	0.180587
4	3	0.173636
4	4	0.176088
4	5	0.172890
4	6	0.176614
4	7	0.175936
4	8	0.173878
4	9	0.170103
4	10	0.173098
4	11	0.172519
4	12	0.180276
4	13	0.178838
4	14	0.174091
4	15	0.171079
4	16	0.174917
4	17	0.170507
4	18	0.174202
4	19	0.172670
5	0	0.219936
5	1	0.158872
5	2	0.162151
5	3	0.155337
5	4	0.147084
5	5	0.146396
5	6	0.144174
5	7	0.141960
5	8	0.147845
5	9	0.146136
5	10	0.147825
5	11	0.145974
5	12	0.146602
5	13	0.147426
5	14	0.145265
5	15	0.141647
5	16	0.139763
5	17	0.143822
5	18	0.146242
5	19	0.147118
6	0	0.217787
6	1	0.151982
6	2	0.145288
6	3	0.143841
6	4	0.139064
6	5	0.137061
6	6	0.141148
6	7	0.135899
6	8	0.132085
6	9	0.130521
6	10	0.130886
6	11	0.128727
6	12	0.131433
6	13	0.132823
6	14	0.133937
6	15	0.131899
6	16	0.130914
6	17	0.125709
6	18	0.126254
6	19	0.125020
7	0	0.241976
7	1	0.175253
7	2	0.157055
7	3	0.164382
7	4	0.156338
7	5	0.152923
7	6	0.154840
7	7	0.154019
7	8	0.157345
7	9	0.159795
7	10	0.161793
7	11	0.160945
7	12	0.163995
7	13	0.167985
7	14	0.165587
7	15	0.160575
7	16	0.158595
7	17	0.161055
7	18	0.157554
7	19	0.165281
8	0	0.195937
8	1	0.148204
8	2	0.132949
8	3	0.119390
8	4	0.120941
8	5	0.121122
8	6	0.121486
8	7	0.125535
8	8	0.126441
8	9	0.127820
8	10	0.131946
8	11	0.129908
8	12	0.128917
8	13	0.127103
8	14	0.125372
8	15	0.133356
8	16	0.129541
8	17	0.129738
8	18	0.128454
8	19	0.127829
9	0	0.232500
9	1	0.144602
9	2	0.129962
9	3	0.125837
9	4	0.127168
9	5	0.120971
9	6	0.124083
9	7	0.120792
9	8	0.119519
9	9	0.116973
9	10	0.118095
9	11	0.117830
9	12	0.110157
9	13	0.109915
9	14	0.104012
9	15	0.107245
9	16	0.107010
9	17	0.113044
9	18	0.116651
9	19	0.119340
10	0	0.270730
10	1	0.203893
10	2	0.202501
10	3	0.205977
10	4	0.194970
10	5	0.187820
10	6	0.184705
10	7	0.192237
10	8	0.184111
10	9	0.186856
10	10	0.186681
10	11	0.190654
10	12	0.194850
10	13	0.200642
10	14	0.195144
10	15	0.191628
10	16	0.193084
10	17	0.190142
10	18	0.194143
10	19	0.195215
