epoch	position	reward
0	0	0.169171
0	1	0.121201
0	2	0.112940
0	3	0.110058
0	4	0.111292
0	5	0.111614
0	6	0.112409
0	7	0.112115
0	8	0.112064
0	9	0.112789
0	10	0.112776
0	11	0.112169
0	12	0.112388
0	13	0.112688
0	14	0.112725
0	15	0.112079
0	16	0.113813
0	17	0.111938
0	18	0.113324
0	19	0.112825
0	0	0.229281
0	1	0.151144
0	2	0.138582
0	3	0.137326
0	4	0.137213
0	5	0.136288
0	6	0.137104
0	7	0.136684
0	8	0.133610
0	9	0.135552
0	10	0.135538
0	11	0.136957
0	12	0.136432
0	13	0.137578
0	14	0.138688
0	15	0.137905
0	16	0.137660
0	17	0.138377
0	18	0.137753
0	19	0.136678
0	0	0.169096
0	1	0.092367
0	2	0.083435
0	3	0.082534
0	4	0.081270
0	5	0.080808
0	6	0.082291
0	7	0.083001
0	8	0.081987
0	9	0.082035
0	10	0.081794
0	11	0.082250
0	12	0.081346
0	13	0.081046
0	14	0.081465
0	15	0.080700
0	16	0.080881
0	17	0.080258
0	18	0.081434
0	19	0.081367
1	0	0.130225
1	1	0.073179
1	2	0.064356
1	3	0.061120
1	4	0.061240
1	5	0.060227
1	6	0.060579
1	7	0.059534
1	8	0.059158
1	9	0.059172
1	10	0.059529
1	11	0.059429
1	12	0.059374
1	13	0.059164
1	14	0.059329
1	15	0.059733
1	16	0.059293
1	17	0.059325
1	18	0.059533
1	19	0.060023
1	0	0.177446
1	1	0.118563
1	2	0.098995
1	3	0.091003
1	4	0.090689
1	5	0.092173
1	6	0.090741
1	7	0.092140
1	8	0.092495
1	9	0.090965
1	10	0.091721
1	11	0.090455
1	12	0.091282
1	13	0.091104
1	14	0.090839
1	15	0.090483
1	16	0.091550
1	17	0.091154
1	18	0.090620
1	19	0.090968
1	0	0.176804
1	1	0.098335
1	2	0.084431
1	3	0.083077
1	4	0.083261
1	5	0.086646
1	6	0.083236
1	7	0.083998
1	8	0.085678
1	9	0.086017
1	10	0.086003
1	11	0.084319
1	12	0.083971
1	13	0.084642
1	14	0.083873
1	15	0.084087
1	16	0.085224
1	17	0.086156
1	18	0.085784
1	19	0.085463
2	0	0.143998
2	1	0.071710
2	2	0.058365
2	3	0.060774
2	4	0.059226
2	5	0.057523
2	6	0.056255
2	7	0.054396
2	8	0.055588
2	9	0.055328
2	10	0.054574
2	11	0.056469
2	12	0.054927
2	13	0.054816
2	14	0.055683
2	15	0.055549
2	16	0.056382
2	17	0.056152
2	18	0.056028
2	19	0.056186
2	0	0.134533
2	1	0.078405
2	2	0.065350
2	3	0.068717
2	4	0.067744
2	5	0.071963
2	6	0.071698
2	7	0.069025
2	8	0.067812
2	9	0.071268
2	10	0.069634
2	11	0.069358
2	12	0.067962
2	13	0.070302
2	14	0.070696
2	15	0.071263
2	16	0.069670
2	17	0.070841
2	18	0.072132
2	19	0.071548
2	0	0.155494
2	1	0.097178
2	2	0.093348
2	3	0.086819
2	4	0.088458
2	5	0.086287
2	6	0.086000
2	7	0.084380
2	8	0.083394
2	9	0.083725
2	10	0.083054
2	11	0.082972
2	12	0.082329
2	13	0.082853
2	14	0.082551
2	15	0.082338
2	16	0.081166
2	17	0.081866
2	18	0.082809
2	19	0.083267
3	0	0.131642
3	1	0.071428
3	2	0.064755
3	3	0.063244
3	4	0.060415
3	5	0.061562
3	6	0.060210
3	7	0.058625
3	8	0.058182
3	9	0.059944
3	10	0.059556
3	11	0.058333
3	12	0.057198
3	13	0.058001
3	14	0.058409
3	15	0.059165
3	16	0.058857
3	17	0.059252
3	18	0.058215
3	19	0.057800
3	0	0.174045
3	1	0.124206
3	2	0.113250
3	3	0.116308
3	4	0.114255
3	5	0.110802
3	6	0.113642
3	7	0.115078
3	8	0.113352
3	9	0.111109
3	10	0.113079
3	11	0.113133
3	12	0.113399
3	13	0.113658
3	14	0.113222
3	15	0.113436
3	16	0.113373
3	17	0.112554
3	18	0.112942
3	19	0.112520
3	0	0.174644
3	1	0.107764
3	2	0.096734
3	3	0.093648
3	4	0.092568
3	5	0.093174
3	6	0.090151
3	7	0.089927
3	8	0.088403
3	9	0.088158
3	10	0.090888
3	11	0.090963
3	12	0.090716
3	13	0.092760
3	14	0.090639
3	15	0.092912
3	16	0.092604
3	17	0.093475
3	18	0.092803
3	19	0.091587
4	0	0.161643
4	1	0.092315
4	2	0.076010
4	3	0.074373
4	4	0.074724
4	5	0.073756
4	6	0.073777
4	7	0.073858
4	8	0.073160
4	9	0.072579
4	10	0.072642
4	11	0.071755
4	12	0.072712
4	13	0.071578
4	14	0.073418
4	15	0.073556
4	16	0.073801
4	17	0.073517
4	18	0.074195
4	19	0.074443
4	0	0.145823
4	1	0.062778
4	2	0.053409
4	3	0.057337
4	4	0.056079
4	5	0.054840
4	6	0.056088
4	7	0.056846
4	8	0.055216
4	9	0.052387
4	10	0.055122
4	11	0.051429
4	12	0.051947
4	13	0.052385
4	14	0.050960
4	15	0.050961
4	16	0.051848
4	17	0.052168
4	18	0.052599
4	19	0.051617
4	0	0.146627
4	1	0.089250
4	2	0.079377
4	3	0.079962
4	4	0.078522
4	5	0.076185
4	6	0.075755
4	7	0.076353
4	8	0.080223
4	9	0.078701
4	10	0.081680
4	11	0.082557
4	12	0.081481
4	13	0.083677
4	14	0.084160
4	15	0.081594
4	16	0.082933
4	17	0.082029
4	18	0.082971
4	19	0.083715
5	0	0.159116
5	1	0.120587
5	2	0.112487
5	3	0.112726
5	4	0.105393
5	5	0.106942
5	6	0.104455
5	7	0.105723
5	8	0.109389
5	9	0.109379
5	10	0.109642
5	11	0.111022
5	12	0.111352
5	13	0.111712
5	14	0.110006
5	15	0.111477
5	16	0.111352
5	17	0.110817
5	18	0.110379
5	19	0.110237
5	0	0.122439
5	1	0.054404
5	2	0.048944
5	3	0.043374
5	4	0.043726
5	5	0.041646
5	6	0.038587
5	7	0.039025
5	8	0.039007
5	9	0.038134
5	10	0.037861
5	11	0.038494
5	12	0.037880
5	13	0.038113
5	14	0.038563
5	15	0.038770
5	16	0.039010
5	17	0.039112
5	18	0.039499
5	19	0.039827
5	0	0.172096
5	1	0.125859
5	2	0.116084
5	3	0.118000
5	4	0.120312
5	5	0.115834
5	6	0.118922
5	7	0.114118
5	8	0.114314
5	9	0.112810
5	10	0.115022
5	11	0.114553
5	12	0.114864
5	13	0.114129
5	14	0.113046
5	15	0.114670
5	16	0.113846
5	17	0.113928
5	18	0.112293
5	19	0.111923
6	0	0.162512
6	1	0.104116
6	2	0.097518
6	3	0.096536
6	4	0.095875
6	5	0.096796
6	6	0.094793
6	7	0.095474
6	8	0.094154
6	9	0.094623
6	10	0.095042
6	11	0.094878
6	12	0.093734
6	13	0.093776
6	14	0.093244
6	15	0.092758
6	16	0.094122
6	17	0.093535
6	18	0.092916
6	19	0.093276
6	0	0.114764
6	1	0.069193
6	2	0.058597
6	3	0.059444
6	4	0.058510
6	5	0.057671
6	6	0.058264
6	7	0.059561
6	8	0.056824
6	9	0.055985
6	10	0.057077
6	11	0.055877
6	12	0.055401
6	13	0.054618
6	14	0.055842
6	15	0.056253
6	16	0.057314
6	17	0.056140
6	18	0.055827
6	19	0.055878
6	0	0.138889
6	1	0.086389
6	2	0.075292
6	3	0.076208
6	4	0.075054
6	5	0.074090
6	6	0.073958
6	7	0.075226
6	8	0.075124
6	9	0.074127
6	10	0.073737
6	11	0.073745
6	12	0.073738
6	13	0.071598
6	14	0.071973
6	15	0.074416
6	16	0.072695
6	17	0.072579
6	18	0.073163
6	19	0.073782
7	0	0.091474
7	1	0.042517
7	2	0.039969
7	3	0.042437
7	4	0.043617
7	5	0.043058
7	6	0.043018
7	7	0.044049
7	8	0.043469
7	9	0.043682
7	10	0.044201
7	11	0.043982
7	12	0.044598
7	13	0.044326
7	14	0.044497
7	15	0.044055
7	16	0.044883
7	17	0.046246
7	18	0.045699
7	19	0.045742
7	0	0.148627
7	1	0.066381
7	2	0.042230
7	3	0.044722
7	4	0.045122
7	5	0.044550
7	6	0.044180
7	7	0.044580
7	8	0.045420
7	9	0.045438
7	10	0.045851
7	11	0.045198
7	12	0.044901
7	13	0.044519
7	14	0.045043
7	15	0.045128
7	16	0.043604
7	17	0.043168
7	18	0.043328
7	19	0.042647
7	0	0.110726
7	1	0.067676
7	2	0.069608
7	3	0.071423
7	4	0.066705
7	5	0.068659
7	6	0.066635
7	7	0.067365
7	8	0.070414
7	9	0.068290
7	10	0.068517
7	11	0.068565
7	12	0.067639
7	13	0.068449
7	14	0.068129
7	15	0.066953
7	16	0.067948
7	17	0.067850
7	18	0.068253
7	19	0.067509
8	0	0.133270
8	1	0.064862
8	2	0.052406
8	3	0.057231
8	4	0.055925
8	5	0.054325
8	6	0.055202
8	7	0.056323
8	8	0.057108
8	9	0.055215
8	10	0.054178
8	11	0.054530
8	12	0.055275
8	13	0.055241
8	14	0.054904
8	15	0.054526
8	16	0.054516
8	17	0.054072
8	18	0.053656
8	19	0.053062
8	0	0.135163
8	1	0.090110
8	2	0.071065
8	3	0.075057
8	4	0.071390
8	5	0.071713
8	6	0.069738
8	7	0.070268
8	8	0.068610
8	9	0.068827
8	10	0.066592
8	11	0.067596
8	12	0.066771
8	13	0.067402
8	14	0.065716
8	15	0.065095
8	16	0.065697
8	17	0.065288
8	18	0.063943
8	19	0.063818
8	0	0.156476
8	1	0.092078
8	2	0.084102
8	3	0.084594
8	4	0.082888
8	5	0.084327
8	6	0.084142
8	7	0.082417
8	8	0.081605
8	9	0.080533
8	10	0.080763
8	11	0.080808
8	12	0.075107
8	13	0.079099
8	14	0.078252
8	15	0.078552
8	16	0.077972
8	17	0.079453
8	18	0.079131
8	19	0.078985
9	0	0.142189
9	1	0.088272
9	2	0.076031
9	3	0.069626
9	4	0.072123
9	5	0.068593
9	6	0.069490
9	7	0.068646
9	8	0.068106
9	9	0.069548
9	10	0.068924
9	11	0.072043
9	12	0.066748
9	13	0.068641
9	14	0.068256
9	15	0.068425
9	16	0.066851
9	17	0.068789
9	18	0.067743
9	19	0.068223
9	0	0.129515
9	1	0.075909
9	2	0.065849
9	3	0.061981
9	4	0.061710
9	5	0.061038
9	6	0.064845
9	7	0.061614
9	8	0.058352
9	9	0.059338
9	10	0.059047
9	11	0.059738
9	12	0.062023
9	13	0.061730
9	14	0.060917
9	15	0.060565
9	16	0.059895
9	17	0.062479
9	18	0.060914
9	19	0.061575
9	0	0.160057
9	1	0.078529
9	2	0.072514
9	3	0.064205
9	4	0.067468
9	5	0.065325
9	6	0.064815
9	7	0.061799
9	8	0.058650
9	9	0.059330
9	10	0.060795
9	11	0.059002
9	12	0.060684
9	13	0.060789
9	14	0.060436
9	15	0.059032
9	16	0.060485
9	17	0.060530
9	18	0.060182
9	19	0.060676
10	0	0.124079
10	1	0.086241
10	2	0.067254
10	3	0.066187
10	4	0.066617
10	5	0.069877
10	6	0.069140
10	7	0.069292
10	8	0.067533
10	9	0.067828
10	10	0.067957
10	11	0.066962
10	12	0.066127
10	13	0.064991
10	14	0.065011
10	15	0.065399
10	16	0.064880
10	17	0.064935
10	18	0.064730
10	19	0.064754
10	0	0.107746
10	1	0.059403
10	2	0.053819
10	3	0.049672
10	4	0.052617
10	5	0.052459
10	6	0.054478
10	7	0.052960
10	8	0.054349
10	9	0.056139
10	10	0.055780
10	11	0.056362
10	12	0.057207
10	13	0.057670
10	14	0.058982
10	15	0.057590
10	16	0.056819
10	17	0.057209
10	18	0.057544
10	19	0.057332
10	0	0.137991
10	1	0.108417
10	2	0.099041
10	3	0.098666
10	4	0.101029
10	5	0.101857
10	6	0.099594
10	7	0.104613
10	8	0.101157
10	9	0.104396
10	10	0.102281
10	11	0.102932
10	12	0.100171
10	13	0.102411
10	14	0.103417
10	15	0.103404
10	16	0.103702
10	17	0.102774
10	18	0.102548
10	19	0.102817
11	0	0.111151
11	1	0.071096
11	2	0.068918
11	3	0.067230
11	4	0.064984
11	5	0.064711
11	6	0.065183
11	7	0.065353
11	8	0.065011
11	9	0.066490
11	10	0.066311
11	11	0.066131
11	12	0.066616
11	13	0.068239
11	14	0.068139
11	15	0.066752
11	16	0.066143
11	17	0.067898
11	18	0.067045
11	19	0.066835
11	0	0.131805
11	1	0.072330
11	2	0.062348
11	3	0.062067
11	4	0.062137
11	5	0.062547
11	6	0.063398
11	7	0.063230
11	8	0.063776
11	9	0.064270
11	10	0.064938
11	11	0.063578
11	12	0.063649
11	13	0.064309
11	14	0.063392
11	15	0.062520
11	16	0.062731
11	17	0.063481
11	18	0.062952
11	19	0.062957
11	0	0.092890
11	1	0.053687
11	2	0.045278
11	3	0.039774
11	4	0.038410
11	5	0.037810
11	6	0.039282
11	7	0.038300
11	8	0.038412
11	9	0.038627
11	10	0.038527
11	11	0.038657
11	12	0.039326
11	13	0.039059
11	14	0.038940
11	15	0.038774
11	16	0.038786
11	17	0.039811
11	18	0.038924
11	19	0.039240
12	0	0.122228
12	1	0.075863
12	2	0.069853
12	3	0.064910
12	4	0.062070
12	5	0.062936
12	6	0.063759
12	7	0.063543
12	8	0.063253
12	9	0.062803
12	10	0.064186
12	11	0.064328
12	12	0.065012
12	13	0.064257
12	14	0.065554
12	15	0.064671
12	16	0.066381
12	17	0.067380
12	18	0.067504
12	19	0.067561
12	0	0.090986
12	1	0.040198
12	2	0.039067
12	3	0.037494
12	4	0.039454
12	5	0.038977
12	6	0.036906
12	7	0.038151
12	8	0.037205
12	9	0.039495
12	10	0.036780
12	11	0.038317
12	12	0.038404
12	13	0.038046
12	14	0.039292
12	15	0.040092
12	16	0.038773
12	17	0.039062
12	18	0.038337
12	19	0.038761
12	0	0.105985
12	1	0.059399
12	2	0.047534
12	3	0.051345
12	4	0.049194
12	5	0.051114
12	6	0.053143
12	7	0.053544
12	8	0.052319
