epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.987292	0.429328	0.236457	0.962500	0.812576	0.067721	0.087401
1	8.946737	0.380336	0.230867	0.972000	0.820781	0.059451	0.081919
2	8.932205	0.352238	0.227590	0.968000	0.832937	0.064937	0.077526
3	8.911222	0.448723	0.224463	0.968500	0.838525	0.056947	0.092926
4	8.900596	0.474624	0.221814	0.966500	0.840378	0.057336	0.099885
5	8.961320	0.309001	0.221403	0.969000	0.847795	0.055674	0.071658
6	8.945270	0.298519	0.220174	0.971500	0.850570	0.054818	0.071321
7	8.929283	0.282476	0.217411	0.973500	0.855442	0.052857	0.069922
8	8.931757	0.347471	0.216501	0.964000	0.849546	0.055645	0.078795
9	8.922322	0.369262	0.214728	0.977500	0.862659	0.045456	0.079648
10	8.909484	0.407914	0.213219	0.975000	0.858575	0.049424	0.087988
11	8.899447	0.161716	0.213293	0.972000	0.856653	0.049287	0.047506
12	8.898561	0.241454	0.211822	0.974500	0.861913	0.038596	0.061613
13	8.897884	0.252379	0.211110	0.973500	0.865400	0.050222	0.061847
14	8.884450	0.332682	0.211726	0.971000	0.853670	0.040884	0.075258
15	8.863692	0.337459	0.210871	0.969000	0.860046	0.048255	0.075289
16	8.885764	0.255522	0.210822	0.976500	0.863896	0.036300	0.065205
17	8.863601	0.196281	0.209706	0.977500	0.866646	0.043128	0.055232
18	8.860863	0.376408	0.208694	0.971500	0.853066	0.043106	0.082509
19	8.888041	0.269105	0.208077	0.978000	0.871356	0.042559	0.067482
20	8.883545	0.182045	0.209304	0.969000	0.859749	0.041338	0.052079
21	8.904015	0.187712	0.206882	0.970000	0.864256	0.046407	0.053561
22	8.907005	0.173968	0.206020	0.977500	0.863834	0.036105	0.049652
23	8.884835	0.174921	0.207283	0.971000	0.863610	0.041455	0.048881
24	8.837854	0.251336	0.206565	0.976000	0.867168	0.040801	0.062131
25	8.899515	0.220733	0.207164	0.979000	0.873416	0.043684	0.059099
26	8.895705	0.142401	0.207005	0.976000	0.863004	0.036162	0.042680
27	8.910505	0.244188	0.205297	0.979000	0.866524	0.031666	0.063022
28	8.886591	0.203360	0.205095	0.977500	0.869029	0.039863	0.055535
29	8.889122	0.153595	0.207289	0.975500	0.867097	0.033750	0.047249
30	8.899406	0.202319	0.204925	0.971500	0.864358	0.040571	0.055876
31	8.860429	0.175997	0.204727	0.980000	0.872509	0.035465	0.051314
32	8.907849	0.233586	0.204639	0.976500	0.860348	0.031180	0.061550
33	8.883509	0.267244	0.205185	0.972500	0.867387	0.043541	0.066520
34	8.849989	0.214343	0.203389	0.977500	0.869616	0.037705	0.058366
35	8.919112	0.206571	0.202577	0.981000	0.875247	0.034710	0.059728
36	8.862804	0.296093	0.200266	0.976500	0.871060	0.038813	0.070783
37	8.893716	0.176819	0.200784	0.978000	0.866011	0.030239	0.051980
38	8.846777	0.187384	0.200874	0.980000	0.871048	0.031444	0.054515
39	8.839005	0.185048	0.199717	0.981000	0.870054	0.030324	0.052798
40	8.849607	0.177530	0.198841	0.977500	0.871255	0.032421	0.053228
41	8.830625	0.221587	0.200155	0.977500	0.868618	0.032040	0.059959
42	8.897926	0.143402	0.201143	0.981000	0.866132	0.027606	0.045805
43	8.880236	0.198833	0.198939	0.978000	0.871136	0.034779	0.054488
44	8.891964	0.117798	0.198630	0.978000	0.868485	0.033118	0.041854
45	8.886950	0.173273	0.199607	0.974000	0.865916	0.036248	0.053916
46	8.906011	0.176983	0.197877	0.974000	0.866479	0.036538	0.054065
47	8.905218	0.200493	0.198545	0.975500	0.868268	0.033103	0.061233
48	8.937534	0.130191	0.199131	0.979000	0.869618	0.030873	0.043105
49	8.924901	0.192276	0.197828	0.982500	0.875162	0.029737	0.056070
