epoch	nll	pg_loss	d_loss	d_accuracy	real_prob	fake_prob	avg_reward
0	8.907639	0.454485	0.243118	0.959500	0.798765	0.065243	0.072420
1	8.903418	0.390890	0.238089	0.963500	0.821684	0.060107	0.068169
2	8.884375	0.585382	0.233484	0.958000	0.825920	0.060236	0.099964
3	8.934237	0.444333	0.231317	0.964000	0.831001	0.051184	0.072111
4	8.918344	0.381859	0.231509	0.965500	0.831630	0.053119	0.066127
5	8.873927	0.349797	0.231520	0.955500	0.835947	0.061148	0.062682
6	8.841782	0.351162	0.232414	0.967000	0.838079	0.049229	0.060126
7	8.901233	0.340458	0.230300	0.958000	0.841794	0.061886	0.060131
8	8.884197	0.432148	0.231864	0.967000	0.851157	0.049082	0.072389
9	8.907887	0.423009	0.228829	0.958000	0.844518	0.062234	0.078576
10	8.870899	0.327496	0.232403	0.960500	0.851658	0.058755	0.052878
11	8.859813	0.275055	0.232794	0.965000	0.847789	0.054142	0.045676
12	8.874208	0.315060	0.234791	0.957000	0.843900	0.059665	0.056626
13	8.921911	0.406414	0.231935	0.958500	0.833105	0.053263	0.075440
14	8.842259	0.384924	0.235496	0.969000	0.845420	0.050113	0.065301
15	8.855830	0.276010	0.235302	0.958000	0.844172	0.062210	0.051256
16	8.847849	0.338334	0.236274	0.962000	0.845906	0.055946	0.058466
17	8.866779	0.329613	0.234170	0.960500	0.850457	0.059506	0.057057
18	8.894672	0.301247	0.236596	0.956000	0.835838	0.061531	0.053940
19	8.835150	0.331878	0.234422	0.961000	0.842091	0.057018	0.057177
20	8.862812	0.394610	0.234298	0.952500	0.841545	0.065954	0.071541
21	8.884393	0.384840	0.233019	0.955000	0.848984	0.068242	0.071480
22	8.874023	0.367827	0.234895	0.962000	0.843122	0.054582	0.066984
23	8.848969	0.326167	0.233454	0.957500	0.845019	0.054966	0.059627
24	8.865140	0.275385	0.236104	0.962000	0.841027	0.051590	0.050262
25	8.849017	0.297293	0.231509	0.956000	0.841720	0.060276	0.056409
26	8.828535	0.385409	0.229226	0.961000	0.846002	0.055991	0.079478
27	8.848681	0.270615	0.232261	0.960500	0.845333	0.059714	0.055161
28	8.908911	0.356103	0.233508	0.963000	0.843751	0.057068	0.067018
29	8.856400	0.349947	0.231323	0.957500	0.835180	0.050898	0.065530
30	8.875115	0.343020	0.231113	0.963000	0.848330	0.050934	0.063550
31	8.839202	0.252509	0.229575	0.957000	0.847669	0.066459	0.051381
32	8.850268	0.431545	0.234306	0.964000	0.842672	0.046113	0.078161
33	8.871353	0.345572	0.230592	0.963000	0.847267	0.062407	0.065342
34	8.860752	0.326592	0.231194	0.964000	0.847801	0.057008	0.068909
35	8.852723	0.386367	0.230626	0.958000	0.839386	0.056957	0.070202
36	8.794145	0.353241	0.232399	0.961500	0.846784	0.054864	0.064171
37	8.841057	0.327071	0.230556	0.960000	0.844998	0.049731	0.065360
38	8.830257	0.291449	0.230085	0.953500	0.840698	0.061172	0.051156
39	8.874288	0.361255	0.229866	0.963500	0.843033	0.048666	0.067955
40	8.809378	0.184214	0.231562	0.957500	0.838950	0.052667	0.039180
41	8.847846	0.383269	0.233036	0.962500	0.842001	0.051336	0.074309
42	8.832306	0.218416	0.231329	0.963500	0.842683	0.045429	0.041220
43	8.879951	0.318674	0.230290	0.964500	0.849951	0.054643	0.063312
44	8.852700	0.263901	0.231172	0.960000	0.837102	0.051704	0.052683
45	8.834901	0.327950	0.232175	0.964000	0.845226	0.051367	0.059874
46	8.818089	0.227434	0.232617	0.958500	0.836794	0.056153	0.050306
47	8.859535	0.272438	0.231607	0.962000	0.842075	0.047457	0.052490
48	8.847138	0.234336	0.229204	0.957500	0.837536	0.050762	0.047786
49	8.823074	0.297143	0.232305	0.966000	0.841406	0.042946	0.061110
