epoch	position	reward
0	0	0.170766
0	1	0.070139
0	2	0.061253
0	3	0.057421
0	4	0.057778
0	5	0.057262
0	6	0.057544
0	7	0.058237
0	8	0.057584
0	9	0.057900
0	10	0.057820
0	11	0.057691
0	12	0.057605
0	13	0.057018
0	14	0.057112
0	15	0.056954
0	16	0.057419
0	17	0.057046
0	18	0.057016
0	19	0.057089
0	0	0.169262
0	1	0.082313
0	2	0.062659
0	3	0.056189
0	4	0.055621
0	5	0.054282
0	6	0.051048
0	7	0.050654
0	8	0.050537
0	9	0.051341
0	10	0.050871
0	11	0.050549
0	12	0.050407
0	13	0.050583
0	14	0.050644
0	15	0.050768
0	16	0.050735
0	17	0.050599
0	18	0.050781
0	19	0.050615
0	0	0.169529
0	1	0.096239
0	2	0.071137
0	3	0.074250
0	4	0.071717
0	5	0.071316
0	6	0.069692
0	7	0.068917
0	8	0.069086
0	9	0.068865
0	10	0.069015
0	11	0.069194
0	12	0.068740
0	13	0.069161
0	14	0.068978
0	15	0.069146
0	16	0.069204
0	17	0.069213
0	18	0.069218
0	19	0.069261
1	0	0.154662
1	1	0.103204
1	2	0.072931
1	3	0.073241
1	4	0.073359
1	5	0.073189
1	6	0.072855
1	7	0.072395
1	8	0.072803
1	9	0.072440
1	10	0.072872
1	11	0.073150
1	12	0.073232
1	13	0.073337
1	14	0.072781
1	15	0.072526
1	16	0.072764
1	17	0.072888
1	18	0.072553
1	19	0.072869
1	0	0.174571
1	1	0.114147
1	2	0.069801
1	3	0.068481
1	4	0.066702
1	5	0.067049
1	6	0.066682
1	7	0.066332
1	8	0.066764
1	9	0.066794
1	10	0.066356
1	11	0.066674
1	12	0.066509
1	13	0.066308
1	14	0.066278
1	15	0.066342
1	16	0.066170
1	17	0.066091
1	18	0.065901
1	19	0.066049
1	0	0.261320
1	1	0.155966
1	2	0.098774
1	3	0.096504
1	4	0.092141
1	5	0.092894
1	6	0.092684
1	7	0.093058
1	8	0.092395
1	9	0.092479
1	10	0.092274
1	11	0.092213
1	12	0.092076
1	13	0.092265
1	14	0.092020
1	15	0.092243
1	16	0.092130
1	17	0.092330
1	18	0.092248
1	19	0.092017
2	0	0.163046
2	1	0.084381
2	2	0.065097
2	3	0.061643
2	4	0.062422
2	5	0.061137
2	6	0.059773
2	7	0.059016
2	8	0.058516
2	9	0.059112
2	10	0.058599
2	11	0.058804
2	12	0.058727
2	13	0.058865
2	14	0.058828
2	15	0.058876
2	16	0.059007
2	17	0.059168
2	18	0.059295
2	19	0.059195
2	0	0.183161
2	1	0.123340
2	2	0.099016
2	3	0.095333
2	4	0.091352
2	5	0.091631
2	6	0.090908
2	7	0.091858
2	8	0.091921
2	9	0.091826
2	10	0.091251
2	11	0.091634
2	12	0.091761
2	13	0.091684
2	14	0.091563
2	15	0.091746
2	16	0.091873
2	17	0.091492
2	18	0.091514
2	19	0.091393
2	0	0.196517
2	1	0.110174
2	2	0.089021
2	3	0.083801
2	4	0.083432
2	5	0.081136
2	6	0.080623
2	7	0.081085
2	8	0.081024
2	9	0.080703
2	10	0.080704
2	11	0.080759
2	12	0.080834
2	13	0.080843
2	14	0.080982
2	15	0.080872
2	16	0.080970
2	17	0.080895
2	18	0.080673
2	19	0.080659
3	0	0.118545
3	1	0.064120
3	2	0.041443
3	3	0.029947
3	4	0.031391
3	5	0.031533
3	6	0.030130
3	7	0.031336
3	8	0.030608
3	9	0.029996
3	10	0.030617
3	11	0.030142
3	12	0.030214
3	13	0.030540
3	14	0.030302
3	15	0.030543
3	16	0.030423
3	17	0.030293
3	18	0.030075
3	19	0.030322
3	0	0.173114
3	1	0.067778
3	2	0.045966
3	3	0.042651
3	4	0.034959
3	5	0.035919
3	6	0.035547
3	7	0.034439
3	8	0.034318
3	9	0.034242
3	10	0.034528
3	11	0.034527
3	12	0.034580
3	13	0.034602
3	14	0.034509
3	15	0.034614
3	16	0.034636
3	17	0.034463
3	18	0.034652
3	19	0.034552
3	0	0.176750
3	1	0.084800
3	2	0.062701
3	3	0.061593
3	4	0.061431
3	5	0.061135
3	6	0.060451
3	7	0.060688
3	8	0.060697
3	9	0.060483
3	10	0.060350
3	11	0.060483
3	12	0.060113
3	13	0.060226
3	14	0.060408
3	15	0.060234
3	16	0.060325
3	17	0.060198
3	18	0.060197
3	19	0.060174
4	0	0.148763
4	1	0.070571
4	2	0.055186
4	3	0.053296
4	4	0.052855
4	5	0.050621
4	6	0.050835
4	7	0.050406
4	8	0.050992
4	9	0.050218
4	10	0.050726
4	11	0.050562
4	12	0.050387
4	13	0.050352
4	14	0.050489
4	15	0.050274
4	16	0.050217
4	17	0.050223
4	18	0.050097
4	19	0.050102
4	0	0.199040
4	1	0.082291
4	2	0.065089
4	3	0.059745
4	4	0.055012
4	5	0.057776
