phase	epoch	inner_epoch	g_loss	d_loss	avg_real_prob	avg_fake_prob	overall_accuracy
pre-train-d-epoch	0	0	-	4.4411	0.5021	0.4969	0.5026
pre-train-d-epoch	0	1	-	3.4429	0.5224	0.4753	0.5235
pre-train-d-epoch	0	2	-	2.9233	0.5320	0.4709	0.5305
pre-train-d-epoch	1	0	-	2.5705	0.5200	0.4816	0.5192
pre-train-d-epoch	1	1	-	2.2466	0.5214	0.4774	0.5220
pre-train-d-epoch	1	2	-	1.9727	0.5320	0.4677	0.5321
pre-train-d-epoch	2	0	-	1.7703	0.5238	0.4764	0.5237
pre-train-d-epoch	2	1	-	1.5612	0.5324	0.4681	0.5322
pre-train-d-epoch	2	2	-	1.3796	0.5451	0.4549	0.5451
pre-train-d-epoch	3	0	-	1.2527	0.5409	0.4599	0.5405
pre-train-d-epoch	3	1	-	1.1156	0.5561	0.4438	0.5561
pre-train-d-epoch	3	2	-	0.9864	0.5832	0.4167	0.5833
pre-train-d-epoch	4	0	-	0.9288	0.5748	0.4221	0.5764
pre-train-d-epoch	4	1	-	0.8057	0.6179	0.3828	0.6175
pre-train-d-epoch	4	2	-	0.6878	0.6679	0.3325	0.6677
pre-train-d-epoch	5	0	-	0.6992	0.6537	0.3465	0.6536
pre-train-d-epoch	5	1	-	0.6160	0.6926	0.3088	0.6919
pre-train-d-epoch	5	2	-	0.5330	0.7334	0.2656	0.7339
pre-train-d-epoch	6	0	-	0.5073	0.7393	0.2603	0.7395
pre-train-d-epoch	6	1	-	0.3963	0.7992	0.2007	0.7992
pre-train-d-epoch	6	2	-	0.3060	0.8557	0.1441	0.8558
pre-train-d-epoch	7	0	-	0.3683	0.8233	0.1770	0.8232
pre-train-d-epoch	7	1	-	0.2759	0.8704	0.1291	0.8707
pre-train-d-epoch	7	2	-	0.2227	0.9042	0.0959	0.9041
pre-train-d-epoch	8	0	-	0.2612	0.8817	0.1179	0.8819
pre-train-d-epoch	8	1	-	0.1926	0.9166	0.0846	0.9160
pre-train-d-epoch	8	2	-	0.1775	0.9238	0.0750	0.9244
pre-train-d-epoch	9	0	-	0.1971	0.9133	0.0866	0.9133
pre-train-d-epoch	9	1	-	0.1336	0.9451	0.0541	0.9455
pre-train-d-epoch	9	2	-	0.1351	0.9430	0.0575	0.9428
pre-train-d-epoch	10	0	-	0.1587	0.9300	0.0698	0.9301
pre-train-d-epoch	10	1	-	0.1030	0.9579	0.0421	0.9579
pre-train-d-epoch	10	2	-	0.0880	0.9665	0.0334	0.9665
pre-train-d-epoch	11	0	-	0.1224	0.9456	0.0542	0.9457
pre-train-d-epoch	11	1	-	0.0890	0.9611	0.0385	0.9613
pre-train-d-epoch	11	2	-	0.0854	0.9623	0.0369	0.9627
pre-train-d-epoch	12	0	-	0.1013	0.9538	0.0468	0.9535
pre-train-d-epoch	12	1	-	0.0614	0.9756	0.0241	0.9757
pre-train-d-epoch	12	2	-	0.0486	0.9837	0.0164	0.9837
pre-train-d-epoch	13	0	-	0.0860	0.9591	0.0409	0.9591
pre-train-d-epoch	13	1	-	0.0472	0.9819	0.0179	0.9820
pre-train-d-epoch	13	2	-	0.0368	0.9882	0.0119	0.9882
pre-train-d-epoch	14	0	-	0.0721	0.9644	0.0353	0.9646
pre-train-d-epoch	14	1	-	0.0422	0.9827	0.0172	0.9827
pre-train-d-epoch	14	2	-	0.0346	0.9874	0.0127	0.9873
pre-train-d-epoch	15	0	-	0.0636	0.9697	0.0305	0.9696
pre-train-d-epoch	15	1	-	0.0356	0.9853	0.0143	0.9855
pre-train-d-epoch	15	2	-	0.0265	0.9909	0.0092	0.9908
pre-train-d-epoch	16	0	-	0.0552	0.9727	0.0274	0.9727
pre-train-d-epoch	16	1	-	0.0423	0.9798	0.0198	0.9800
pre-train-d-epoch	16	2	-	0.0244	0.9917	0.0084	0.9916
pre-train-d-epoch	17	0	-	0.0480	0.9765	0.0234	0.9765
pre-train-d-epoch	17	1	-	0.0263	0.9896	0.0103	0.9897
